Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/04/07,71-80,5,58,06/30/2020 04:36:29 PM
2020/04/08,71-80,4,62,06/30/2020 04:36:29 PM
2020/04/09,71-80,2,64,06/30/2020 04:36:29 PM
2020/04/10,71-80,1,65,06/30/2020 04:36:29 PM
2020/04/11,71-80,1,66,06/30/2020 04:36:29 PM
2020/04/12,71-80,3,69,06/30/2020 04:36:29 PM
2020/04/13,71-80,2,71,06/30/2020 04:36:29 PM
2020/04/14,71-80,3,74,06/30/2020 04:36:29 PM
2020/04/15,71-80,6,80,06/30/2020 04:36:29 PM
2020/04/16,71-80,0,80,06/30/2020 04:36:29 PM
2020/04/17,71-80,4,84,06/30/2020 04:36:29 PM
2020/04/18,71-80,0,84,06/30/2020 04:36:29 PM
2020/04/19,71-80,0,84,06/30/2020 04:36:29 PM
2020/04/20,71-80,1,85,06/30/2020 04:36:29 PM
2020/04/21,71-80,0,85,06/30/2020 04:36:29 PM
2020/04/22,71-80,1,86,06/30/2020 04:36:29 PM
2020/04/23,71-80,8,94,06/30/2020 04:36:29 PM
2020/04/24,71-80,5,99,06/30/2020 04:36:29 PM
2020/04/25,71-80,9,108,06/30/2020 04:36:29 PM
2020/04/26,71-80,1,109,06/30/2020 04:36:29 PM
2020/04/27,71-80,3,112,06/30/2020 04:36:29 PM
2020/04/28,71-80,4,116,06/30/2020 04:36:29 PM
2020/04/29,71-80,2,118,06/30/2020 04:36:29 PM
2020/04/30,71-80,3,121,06/30/2020 04:36:29 PM
2020/05/01,71-80,1,122,06/30/2020 04:36:29 PM
2020/05/02,71-80,0,122,06/30/2020 04:36:29 PM
2020/05/03,71-80,0,122,06/30/2020 04:36:29 PM
2020/05/04,71-80,0,122,06/30/2020 04:36:29 PM
2020/05/05,71-80,0,122,06/30/2020 04:36:29 PM
2020/05/06,71-80,0,122,06/30/2020 04:36:29 PM
2020/05/07,71-80,0,122,06/30/2020 04:36:29 PM
